Thu Nov 07 15:26:45 2013

Number of Points = 3682
Depth (nm)	Load (µN)	Time (s)
-6.692718	0.181921	0.000000
-5.885011	0.077298	0.016667
-5.879496	-0.111534	0.033333
-6.676681	0.370749	0.050000
-5.708357	0.018608	0.066667
-6.505542	0.500946	0.083333
-5.216367	0.220383	0.100000
-5.531831	0.148810	0.116667
-5.526442	0.148810	0.133333
-4.718608	-0.144637	0.150000
-5.676156	0.207499	0.166667
-5.831384	0.455138	0.183333
-5.184038	0.220383	0.200000
-5.660118	0.396449	0.216667
-4.531432	0.174641	0.233333
-5.488980	0.526769	0.250000
-4.841634	0.292017	0.266667
-4.996736	0.350705	0.283333
-5.151837	0.409393	0.300000
-4.665108	0.422400	0.316667
-4.659847	0.611528	0.333333
-4.493969	0.552842	0.350000
-3.846497	0.128964	0.366667
-4.964661	0.728901	0.383333
-4.156827	0.435469	0.400000
-4.633033	0.800715	0.416667
-4.306540	0.494155	0.433333
-3.659195	0.259410	0.450000
-3.974785	0.376783	0.466667
-3.809035	0.507287	0.483333
-3.964136	0.565972	0.500000
-4.440216	0.742029	0.516667
-3.953487	0.755220	0.533333
-4.108715	1.003211	0.550000
-3.461370	0.768474	0.566667
-3.135003	0.651106	0.583333
-3.450594	0.768474	0.600000
-3.284843	0.899158	0.616667
-3.760923	1.075208	0.633333
-3.434557	0.957841	0.650000
-2.947828	0.971218	0.666667
-2.942440	0.971218	0.683333
-2.455584	0.795170	0.700000
-2.610685	0.853853	0.716667
-2.444808	0.795170	0.733333
-2.760398	0.912535	0.750000
-2.755137	1.102022	0.766667
-2.589260	1.043340	0.783333
-2.423510	1.174204	0.800000
-2.257632	1.115522	0.816667
-2.252244	1.115522	0.833333
-2.567962	1.422488	0.850000
-1.920617	1.187766	0.866667
-1.915229	1.187766	0.883333
-2.070330	1.246447	0.900000
-1.583474	1.070406	0.916667
-2.059681	1.436111	0.933333
-1.412336	1.201392	0.950000
-1.406948	1.201392	0.966667
-1.562176	1.449796	0.983333
-1.235810	1.332438	1.000000
-1.390911	1.391117	1.016667
-0.904055	1.215080	1.033333
-1.059156	1.273759	1.050000
-1.053896	1.463544	1.066667
-1.208997	1.522222	1.083333
-1.364098	1.580901	1.100000
-1.358837	1.770742	1.116667
-1.032598	1.843289	1.133333
-0.706231	1.725935	1.150000
-0.058886	1.491228	1.166667
-0.374477	1.608582	1.183333
-0.690195	1.915896	1.200000
-0.524317	1.857220	1.216667
-0.519057	2.047240	1.233333
-0.353179	1.988565	1.250000
-0.026813	1.871215	1.266667
0.299426	1.943946	1.283333
0.304814	1.943946	1.300000
0.310202	1.943946	1.316667
0.155101	2.002621	1.333333
0.000000	2.061295	1.350000
-0.315973	2.749231	1.366667
0.331245	2.704857	1.383333
1.138824	2.792312	1.400000
1.464935	3.056021	1.416667
