Thu Nov 07 15:13:38 2013

Number of Points = 3680
Depth (nm)	Load (µN)	Time (s)
-7.037424	0.391517	0.000000
-6.231184	0.098096	0.016667
-5.746050	0.111419	0.033333
-5.902746	0.170103	0.050000
-6.059442	0.228786	0.066667
-5.413819	0.183488	0.083333
-5.570514	0.242171	0.100000
-5.245743	0.124805	0.116667
-5.402438	0.183488	0.133333
-5.559134	0.242171	0.150000
-5.074000	0.255618	0.166667
-5.230696	0.314299	0.183333
-4.905924	0.196936	0.200000
-4.741642	0.138254	0.216667
-4.898337	0.196936	0.233333
-4.733928	-0.051242	0.250000
-4.730261	0.138254	0.266667
-4.887084	0.386490	0.283333
-4.241334	0.151765	0.300000
-4.558519	0.269127	0.316667
-4.394363	0.400061	0.333333
-4.390570	0.400061	0.350000
-4.547266	0.458741	0.366667
-4.543473	0.458741	0.383333
-4.058339	0.472374	0.400000
-3.894056	0.413694	0.416667
-3.408795	0.237655	0.433333
-3.405001	0.237655	0.450000
-3.722187	0.355015	0.466667
-4.039372	0.472374	0.483333
-4.356684	0.779464	0.500000
-3.550572	0.675862	0.516667
-3.707267	0.734540	0.533333
-3.061517	0.499828	0.550000
-3.057724	0.499828	0.566667
-3.054057	0.689681	0.583333
-2.729158	0.382472	0.600000
-3.046471	0.689681	0.616667
-3.524145	0.865713	0.633333
-3.039011	0.879593	0.650000
-3.195707	0.938269	0.666667
-2.389595	0.834859	0.683333
-2.225312	0.776183	0.700000
-2.382008	0.834859	0.716667
-2.378215	0.834859	0.733333
-2.855889	1.010887	0.750000
-2.691734	1.142240	0.766667
-2.527451	1.083565	0.783333
-2.363296	1.214979	0.800000
-1.717546	0.980282	0.816667
-1.713752	0.980282	0.833333
-1.709959	0.980282	0.850000
-1.706165	0.980282	0.866667
-1.862989	1.229106	0.883333
-1.859195	1.229106	0.900000
-2.016019	1.477987	0.916667
-1.691247	1.360641	0.933333
-1.045496	1.125949	0.950000
-1.202320	1.374891	0.966667
-0.877548	1.257547	0.983333
-1.355222	1.433564	1.000000
-1.030450	1.316219	1.016667
-1.187146	1.374891	1.033333
-1.504459	1.682562	1.050000
-0.858709	1.447876	1.066667
-1.176021	1.755605	1.083333
-0.690888	1.770039	1.100000
-0.366116	1.652699	1.116667
-0.362323	1.652699	1.133333
-0.037551	1.535359	1.150000
-0.354736	1.652699	1.166667
-0.351070	1.843205	1.183333
-0.186787	1.784536	1.200000
-0.343483	1.843205	1.216667
0.141650	1.857764	1.233333
0.305933	1.799096	1.250000
0.309726	1.799096	1.266667
0.313647	1.608528	1.283333
0.317313	1.799096	1.300000
0.000000	2.107056	1.316667
0.003921	1.916432	1.333333
0.328310	2.371147	1.350000
1.134421	2.268620	1.366667
1.298448	2.591739	1.383333
1.943815	2.930205	1.400000
2.107713	3.445192	1.416667
2.913568	3.726080	1.433333
3.719422	4.007514	1.450000
4.043809	4.465453	1.466667
4.688916	5.190771	1.483333
5.334280	5.532840	1.500000
5.818767	6.511818	1.516667
7.266576	6.562304	1.533333
7.430471	7.082457	1.550000
8.717660	7.385919	1.566667
9.042044	7.848688	1.583333
9.847894	8.136101	1.600000
10.493255	8.482689	1.616667
10.817507	9.141066	1.633333
11.623226	9.624523	1.650000
12.428945	10.108942	1.666667
13.074304	10.458235	1.683333
14.040641	10.690842	1.700000
14.685999	11.041224	1.716667
15.491846	11.333540	1.733333
15.655737	11.860832	1.750000
16.461452	12.349830	1.766667
16.946188	12.956992	1.783333
17.752034	13.251842	1.800000
18.557747	13.743486	1.816667
19.524081	13.981016	1.833333
20.008947	14.394871	1.850000
20.814791	14.692088	1.866667
21.139167	15.165611	1.883333
21.784389	15.719695	1.900000
22.750721	15.960143	1.916667
23.396074	16.318301	1.933333
23.880938	16.735579	1.950000
24.526157	17.292787	1.966667
25.171509	17.652750	1.983333
26.137839	17.896119	2.000000
26.622568	18.514299	2.016667
27.428275	19.016305	2.033333
27.752647	19.495922	2.050000
28.397863	20.058167	2.066667
29.203568	20.562815	2.083333
30.169896	20.810193	2.100000
30.815244	21.175223	2.116667
31.460592	21.540796	2.133333
32.105940	21.906912	2.150000
32.751288	22.273572	2.166667
33.396635	22.640775	2.183333
33.881492	23.067060	2.200000
34.687328	23.376813	2.216667
35.172050	24.005287	2.233333
35.977750	24.517656	2.250000
36.622960	25.089514	2.266667
37.428793	25.401991	2.283333
37.913513	26.034053	2.300000
38.879835	26.289283	2.316667
39.364689	26.720612	2.333333
40.009896	27.296556	2.350000
40.655239	27.670634	2.366667
41.461070	27.986748	2.383333
42.106276	28.565098	2.400000
42.912242	28.679125	2.416667
43.397094	29.113883	2.433333
43.881809	29.752896	2.450000
44.527013	30.334367	2.466667
45.172216	30.916798	2.483333
45.977907	31.441700	2.500000
46.783735	31.762903	2.516667
47.429073	32.143139	2.533333
48.234763	32.670458	2.550000
48.880101	33.051962	2.566667
49.204460	33.550960	2.583333
50.170775	33.816604	2.600000
50.816111	34.199740	2.616667
51.461447	34.583422	2.633333
52.267272	34.909183	2.650000
52.431140	35.469342	2.666667
53.236687	36.209257	2.683333
54.042511	36.537014	2.700000
54.687706	37.130751	2.716667
55.172412	37.783897	2.733333
55.817606	38.379550	2.750000
56.944266	38.800834	2.766667
57.589598	39.190490	2.783333
58.074580	39.431083	2.800000
59.040890	39.704775	2.816667
59.365243	40.212756	2.833333
60.010574	40.604410	2.850000
60.816253	41.146938	2.866667
61.461443	41.748857	2.883333
62.106772	42.142504	2.900000
62.752101	42.536695	2.916667
63.236800	43.199437	2.933333
63.881988	43.804718	2.950000
64.687664	44.352550	2.966667
65.332850	44.959755	2.983333
65.977895	45.778513	3.000000

66.783851	45.907871	3.016667
