Thu Nov 07 14:32:24 2013

Number of Points = 1988
Depth (nm)	Load (µN)	Time (s)
-4.370282	-0.680463	0.000000
-4.204539	-0.550192	0.016667
-4.038670	-0.608880	0.033333
-4.354268	-0.491503	0.050000
-5.151334	-0.198061	0.066667
-4.985592	-0.067734	0.083333
-5.461680	0.108330	0.100000
-4.493491	-0.054722	0.116667
-4.488237	0.134412	0.133333
-3.680284	-0.348157	0.150000
-3.995883	-0.230783	0.166667
-3.669651	-0.159020	0.183333
-3.985249	-0.041647	0.200000
-3.658891	-0.159020	0.216667
-4.134852	-0.172096	0.233333
-3.648004	-0.348157	0.250000
-4.605686	0.193099	0.266667
-3.637497	0.030176	0.283333
-3.311012	-0.276392	0.300000
-3.145143	-0.335079	0.316667
-3.139763	-0.335079	0.333333
-3.294872	-0.276392	0.350000
-3.771213	0.278115	0.366667
-3.765833	0.278115	0.383333
-3.760453	0.278115	0.400000
-2.952754	0.174006	0.416667
-2.786884	0.115322	0.433333
-2.300037	-0.060730	0.450000
-2.455019	-0.191364	0.466667
-2.449766	-0.002046	0.483333
-2.604875	0.056638	0.500000
-3.080963	0.232690	0.516667
-3.236199	0.480746	0.533333
-2.588989	0.435446	0.550000
-2.583736	0.624938	0.566667
-2.096761	0.259398	0.583333
-1.770402	0.142033	0.600000
-2.086128	0.448892	0.616667
-1.759769	0.331528	0.633333
-2.075368	0.448892	0.650000
-2.551582	0.814488	0.666667
-2.385840	0.945415	0.683333
-2.059482	0.828054	0.700000
-1.893739	0.959043	0.716667
-0.925424	0.606965	0.733333
-0.920044	0.606965	0.750000
-0.914664	0.606965	0.766667
-1.069773	0.665645	0.783333
-1.224882	0.724325	0.800000
-1.379991	0.783004	0.816667
-1.695717	1.090092	0.833333
-1.048507	1.045166	0.850000
-0.561659	0.869131	0.866667
-0.235301	0.751775	0.883333
-0.229921	0.751775	0.900000
-0.706008	0.927809	0.916667
-0.540139	0.869131	0.933333
-0.855738	0.986488	0.950000
-1.171591	1.483596	0.966667
-0.363764	1.190213	0.983333
-0.037406	1.072859	1.000000
0.128464	1.014183	1.016667
0.294333	0.955506	1.033333
0.299586	1.145476	1.050000
0.304966	1.145476	1.066667
-0.010633	1.262828	1.083333
0.155109	1.394180	1.100000
0.000000	1.452855	1.116667
0.647210	1.408242	1.133333
0.973186	1.861512	1.150000
1.459651	2.256645	1.166667
2.266839	2.916395	1.183333
3.555493	3.401651	1.200000
4.202061	4.314444	1.216667
5.330096	5.053411	1.233333
6.297511	6.045340	1.250000
7.585773	7.115527	1.266667
9.355501	8.013631	1.283333
10.964996	8.587138	1.300000
12.253511	9.280088	1.316667
13.541895	10.169435	1.333333
14.830407	10.867083	1.350000
15.797940	11.684126	1.366667
16.925829	12.640064	1.383333
18.374563	13.677553	1.400000
19.662937	14.581181	1.416667
21.111798	15.429161	1.433333
22.560790	16.083026	1.450000
23.849291	16.797654	1.466667
25.137922	17.316735	1.483333
26.265798	18.292001	1.500000
27.393806	19.071710	1.516667
28.682167	19.993865	1.533333
29.970661	20.719705	1.550000
31.259152	21.447718	1.566667
32.387020	22.436424	1.583333
33.675374	23.369521	1.600000

35.284839	23.987691	1.616667
36.412970	24.582551	1.633333
37.540830	25.581773	1.650000
38.829178	26.525408	1.666667
39.957034	27.530504	1.683333
41.245513	28.277328	1.700000
42.854969	28.909315	1.716667
43.822467	29.777504	1.733333
45.271294	30.676124	1.750000
46.399278	31.490504	1.766667
47.687750	32.248564	1.783333
48.976083	33.213693	1.800000
50.103925	34.240244	1.816667
51.231902	35.064013	1.833333
52.359602	36.302158	1.850000
53.808278	37.427212	1.866667
55.257367	37.935045	1.883333
56.545689	38.917444	1.900000
57.673658	39.753498	1.916667
58.962115	40.533283	1.933333
60.250571	41.315246	1.950000
61.378536	42.157816	1.966667
62.666989	42.944132	1.983333
63.794670	44.210137	2.000000
65.082979	45.211509	2.016667
66.371285	46.215833	2.033333
67.980709	46.895487	2.050000
68.948176	47.810922	2.066667
70.236477	48.823270	2.083333
71.524776	49.838570	2.100000
72.492095	50.973579	2.116667
73.780248	52.207608	2.133333
75.068398	53.445479	2.150000
76.517178	54.415051	2.166667
77.966099	55.173446	2.183333
79.094041	56.050731	2.200000
80.382471	56.871843	2.216667
81.510265	57.968687	2.233333
82.638203	58.852848	2.250000
