Thu Nov 07 14:40:13 2013

Number of Points = 2009
Depth (nm)	Load (µN)	Time (s)
-4.813361	-0.738012	0.000000
-5.768732	-0.763861	0.016667
-6.563613	-0.848150	0.033333
-6.716791	-0.789459	0.050000
-6.709606	-0.600621	0.066667
-7.825719	-0.189791	0.083333
-7.016087	-0.294346	0.100000
-7.811348	0.188050	0.116667
-6.038655	-0.457525	0.133333
-5.549875	-0.633591	0.150000
-5.381947	-0.881240	0.166667
-5.535125	-0.822550	0.183333
-6.811727	-0.353036	0.200000
-6.965031	-0.105393	0.216667
-6.636868	-0.033758	0.233333
-6.148215	-0.020748	0.250000
-5.177967	-0.372871	0.266667
-5.331018	-0.503260	0.283333
-4.842239	-0.679324	0.300000
-5.316395	-0.503260	0.316667
-6.111656	-0.020748	0.333333
-5.622876	-0.196809	0.350000
-6.257648	0.227070	0.366667
-5.126912	-0.183735	0.383333
-4.798621	-0.301107	0.400000
-5.272777	-0.125048	0.416667
-4.784124	-0.111912	0.433333
-4.776813	-0.111912	0.450000
-4.769501	-0.111912	0.466667
-4.280721	-0.287968	0.483333
-4.915367	-0.053226	0.500000
-4.587203	0.018657	0.516667
-4.258913	-0.098712	0.533333
-4.733069	0.077342	0.550000
-4.244289	-0.098712	0.566667
-4.558083	0.207970	0.583333
-4.069303	0.031918	0.600000
-3.741013	-0.085450	0.616667
-3.894190	-0.026766	0.633333
-3.726389	-0.085450	0.650000
-4.361035	0.149286	0.666667
-4.353850	0.338658	0.683333
-3.544092	0.045241	0.700000
-3.697396	0.293358	0.716667
-3.048127	0.058627	0.733333
-3.201305	0.117310	0.750000
-3.354482	0.175992	0.766667
-3.347170	0.175992	0.783333
-3.179496	0.306803	0.800000
-3.172185	0.306803	0.816667
-3.004383	0.248122	0.833333
-3.157688	0.496355	0.850000
-2.668908	0.320312	0.866667
-2.982575	0.437674	0.883333
-2.333306	0.202950	0.900000
-2.646973	0.320312	0.916667
-2.800278	0.568605	0.933333
-2.792966	0.568605	0.950000
-2.946270	0.816954	0.966667
-2.778469	0.758274	0.983333
-2.129328	0.713287	1.000000
-2.122016	0.713287	1.016667
-1.793726	0.595929	1.033333
-1.947030	0.844398	1.050000
-1.939718	0.844398	1.066667
-2.092896	0.903076	1.083333
-1.925222	1.034246	1.100000
-1.757421	0.975569	1.116667
-1.589620	0.916891	1.133333
-1.421946	1.048123	1.150000
-1.093656	0.930769	1.166667
-1.567812	1.106799	1.183333
-1.239522	0.989446	1.200000
-1.232337	1.179414	1.216667
-1.706493	1.355442	1.233333
-1.217841	1.369440	1.250000
-1.210529	1.369440	1.266667
-1.042855	1.500850	1.283333
-0.875054	1.442175	1.300000
-0.867870	1.632319	1.316667
-0.539580	1.514972	1.333333
-0.692757	1.573646	1.350000
-0.525083	1.705176	1.366667
-0.357282	1.646503	1.383333
-0.349971	1.646503	1.400000
-0.021808	1.719421	1.416667
-0.174985	1.778093	1.433333
-0.167674	1.778093	1.450000
0.000000	1.909743	1.466667
0.327780	2.554279	1.483333
0.816432	2.568891	1.500000
1.465061	3.288196	1.516667
2.595029	4.024274	1.533333
3.403889	5.071500	1.550000
4.533597	6.196485	1.566667
5.984409	7.015376	1.583333
7.274601	8.088890	1.600000

8.404431	9.031354	1.616667
9.854978	10.247398	1.633333
10.984543	11.585520	1.650000
12.274724	12.674806	1.666667
13.725392	13.709314	1.683333
15.176058	14.747661	1.700000
16.466231	15.848443	1.716667
17.916892	16.894465	1.733333
19.207325	17.608273	1.750000
20.176513	18.836755	1.766667
21.466677	19.951900	1.783333
22.756839	21.070875	1.800000
24.207621	21.936002	1.816667
25.818756	22.945066	1.833333
27.269801	23.416680	1.850000
28.399733	24.207101	1.866667
29.208685	25.116764	1.883333
30.338344	26.313476	1.900000
31.949469	27.338427	1.916667
33.079258	28.340835	1.933333
34.690649	28.968313	1.950000
35.659946	30.034703	1.966667
37.110844	30.725414	1.983333
38.561605	31.621755	2.000000
39.530896	32.696538	2.016667
40.660812	33.511483	2.033333
41.951078	34.474739	2.050000
43.401831	35.382463	2.066667
44.852719	36.087686	2.083333
46.143118	36.853565	2.100000
47.273163	37.473972	2.116667
48.242581	38.360764	2.133333
49.532697	39.546510	2.150000
50.822951	40.528737	2.166667
52.113202	41.513913	2.183333
53.403590	42.293911	2.200000
54.693978	43.076087	2.216667
55.984224	44.069281	2.233333
57.435097	44.797749	2.250000
58.564990	45.645240	2.266667
59.694882	46.494899	2.283333
60.824773	47.346728	2.300000
62.115010	48.353004	2.316667
63.726223	49.245440	2.333333
64.856251	49.893057	2.350000
65.985993	50.965749	2.366667
67.115876	51.829159	2.383333
68.727082	52.732193	2.400000
69.536127	53.504119	2.416667
70.826351	54.528972	2.433333
72.116431	55.770543	2.450000
73.567140	56.743365	2.466667
74.696870	57.835845	2.483333
75.826597	58.931267	2.500000
77.277300	59.912962	2.516667
78.246390	61.288507	2.533333
79.697089	62.276534	2.550000
80.987298	63.325843	2.566667
82.117015	64.436417	2.583333
83.567708	65.433327	2.600000
84.537079	66.390124	2.616667
85.827133	67.669218	2.633333
86.956549	69.229364	2.650000
88.407087	70.458339	2.666667
89.376155	71.865986	2.683333
90.826688	73.102661	2.700000
91.956240	74.459710	2.716667
92.925152	76.100189	2.733333
93.893764	78.189422	2.750000
95.504326	80.052915	2.766667
96.794056	81.816811	2.783333
97.923292	83.644898	2.800000
99.212863	85.645220	2.816667
100.342092	87.485831	2.833333
101.631653	89.499936	2.850000
102.921210	91.521263	2.866667
103.889785	93.666141	2.883333
105.660799	95.527430	2.900000
106.629516	97.458413	2.916667
108.240186	99.162797	2.933333
109.369692	100.588769	2.950000
110.499041	102.248431	2.966667
111.788567	104.315772	2.983333
112.917754	106.217290	3.000000
114.207271	108.298426	3.016667
115.657428	110.096313	3.033333
116.626114	112.074430	3.050000
117.915461	114.409576	3.066667
119.204959	116.518968	3.083333
120.333963	118.693635	3.100000
121.783940	120.759447	3.116667
123.073582	122.654300	3.133333
124.363061	124.791970	3.150000
125.652853	126.461981	3.166667
127.102972	128.316813	3.183333
128.232269	130.055088	3.200000
129.522051	131.740235	3.216667
130.651341	133.488221	3.233333
131.940956	135.423238	3.250000
133.391055	137.306298	3.266667
134.359846	139.127876	3.283333
135.809938	141.022343	3.300000
137.099700	142.738299	3.316667
138.068481	144.574960	3.333333
139.357910	146.787734	3.350000
140.647497	148.763522	3.366667
141.776756	150.558438	3.383333
143.066171	152.790973	3.400000
144.676724	154.669012	3.416667
145.966791	155.929371	3.433333
146.935548	157.802142	3.450000
148.385601	159.753707	3.466667
149.675495	161.273026	3.483333
150.965385	162.796211	3.500000
152.255107	164.572235	3.516667
153.223848	166.468756	3.533333
154.513562	168.254517	3.550000
155.803274	170.045154	3.566667
156.932494	171.898454	3.583333
158.221861	174.202294	3.600000
159.832540	175.893099	3.616667
160.962087	177.256489	3.633333
162.091124	179.382570	3.650000
163.059669	181.572376	3.666667
164.509675	183.594968	3.683333
165.799188	185.681306	3.700000
167.249529	187.204659	3.716667
168.218229	189.161091	3.733333
169.507904	191.006987	3.750000
170.797575	192.857766	3.766667
172.087416	194.455737	3.783333
173.216419	196.631639	3.800000
174.506081	198.497060	3.816667
175.956227	200.309721	3.833333
177.085742	201.722958	3.850000
178.054417	203.717224	3.866667
179.343717	206.122834	3.883333
180.793850	207.955056	3.900000
181.922828	210.169408	3.916667
183.051978	212.127137	3.933333
184.020107	214.936941	3.950000
185.469872	217.318648	3.966667
186.758967	220.029824	3.983333
188.048411	222.219004	4.000000
189.819495	223.975785	4.016667
190.627824	225.816362	4.033333
191.756590	228.346218	4.050000
193.206687	230.233293	4.066667
194.335444	232.776357	4.083333
195.464377	235.057940	4.100000
196.753614	237.557370	4.116667
198.203515	239.736638	4.133333
199.332254	242.307414	4.150000
200.621658	244.556782	4.166667
201.911240	246.540421	4.183333
202.879295	249.460826	4.200000
204.328992	251.944492	4.216667
