Thu Nov 07 13:36:14 2013

Number of Points = 562
Depth (nm)	Load (µN)	Time (s)
-5.350944	0.066274	0.000000
-5.339961	-0.491509	0.016667
-7.415712	0.271948	0.033333
-7.405227	0.457808	0.050000
-6.271442	0.418625	0.066667
-5.779365	0.242450	0.083333
-5.608141	-0.002260	0.100000
-5.276553	-0.119712	0.116667
-5.426433	-0.060986	0.133333
-5.094845	-0.178438	0.150000
-6.047171	0.173918	0.166667
-5.555094	-0.002260	0.183333
-5.063141	0.007549	0.200000
-5.534000	0.183724	0.216667
-5.362901	0.124999	0.233333
-5.031437	0.193593	0.250000
-5.662785	0.428491	0.266667
-4.368261	-0.041305	0.283333
-5.160223	0.438420	0.300000
-4.507532	0.017420	0.316667
-4.817901	0.134869	0.333333
-4.807416	0.320972	0.350000
-4.636317	0.262248	0.366667
-4.465343	0.389688	0.383333
-4.775712	0.507134	0.400000

-3.962656	0.213519	0.416667
-4.112536	0.272242	0.433333
-3.620459	0.096073	0.450000
-4.091317	0.272242	0.466667
-4.241197	0.330965	0.483333
-4.551691	0.634632	0.500000
-4.380592	0.575909	0.516667
-3.728025	0.341020	0.533333
-3.556926	0.282298	0.550000
-3.225338	0.164853	0.566667
-3.054364	0.292416	0.583333
-3.204244	0.351138	0.600000
-3.675102	0.527302	0.616667
-3.985596	0.831085	0.633333
-3.654133	0.900042	0.650000
-2.519974	0.302597	0.666667
-2.509489	0.489001	0.683333
-2.980223	0.478760	0.700000
-2.648635	0.361318	0.716667
-3.119618	0.723882	0.733333
-2.627666	0.734183	0.750000
-2.616931	0.547721	0.766667
-2.766936	0.792902	0.783333
-2.114369	0.558025	0.800000
-2.424738	0.675464	0.816667
-2.093150	0.558025	0.833333
-2.403519	0.675464	0.850000
-2.232545	0.803265	0.866667
-2.061447	0.744547	0.883333
-2.050962	0.931127	0.900000
-2.040228	0.744547	0.916667
-1.548275	0.754973	0.933333
-1.537791	0.941614	0.950000
-1.366567	0.696255	0.966667
-1.677061	1.000331	0.983333
-1.826816	0.872409	1.000000
-1.334864	0.882897	1.016667
-1.484743	0.941614	1.033333
-1.474259	1.128312	1.050000
-1.463650	1.128312	1.066667
-1.453165	1.315069	1.083333
-0.961213	1.325740	1.100000
-0.789989	1.080207	1.116667
-0.619016	1.208310	1.133333
-0.608406	1.208310	1.150000
-0.758411	1.453901	1.166667
-0.587312	1.395187	1.183333
-1.058171	1.571330	1.200000
-0.887072	1.512615	1.216667
-0.395120	1.523408	1.233333
-0.063657	1.592977	1.250000
0.749524	1.112414	1.266667
-0.042313	1.405981	1.283333
-0.031703	1.405981	1.300000
-0.181583	1.464695	1.316667
-0.171099	1.651690	1.333333
0.000000	1.592977	1.350000
3.058147	3.101682	1.366667
4.351411	4.513570	1.383333
8.211102	7.075378	1.400000
12.391371	10.119321	1.416667
17.694524	13.557789	1.433333
23.479374	16.478745	1.450000
28.782861	19.420498	1.466667
35.049257	22.048433	1.483333
39.711136	24.703953	1.500000
44.693705	27.671440	1.516667
49.515762	30.732189	1.533333
54.498013	34.174930	1.550000
59.319610	37.921369	1.566667
64.141179	41.711607	1.583333
69.444045	45.578113	1.600000
74.907650	49.014600	1.616667
79.729413	52.514692	1.633333
84.871701	56.572948	1.650000
89.853756	60.308590	1.666667
94.835639	64.300635	1.683333
100.138470	68.220015	1.700000
104.638827	72.474883	1.716667
109.620031	77.481061	1.733333
114.922620	81.761241	1.750000
120.064690	86.147010	1.766667
125.046238	90.638313	1.783333
130.188243	95.118771	1.800000
134.848751	99.821018	1.816667
139.508917	105.031939	1.833333
144.489557	110.878762	1.850000
149.149176	116.907168	1.866667
154.289900	123.300306	1.883333
159.591063	129.709122	1.900000
164.250223	136.423493	1.916667
169.230310	143.095547	1.933333
173.888878	150.692470	1.950000
178.547222	158.623441	1.966667
183.204834	167.645394	1.983333
188.182843	177.420537	2.000000
193.321597	186.753618	2.016667
197.978462	196.891896	2.033333
203.437685	206.868560	2.050000
208.576728	215.770211	2.066667
213.715348	225.304479	2.083333
218.372787	234.585638	2.100000
223.350410	244.936039	2.116667
228.488440	255.350541	2.133333
233.626573	265.610439	2.150000
238.604140	276.044035	2.166667
243.582006	286.031234	2.183333
248.559801	296.124610	2.200000
253.697822	306.553372	2.216667
258.675279	317.150643	2.233333
263.652076	328.733927	2.250000
268.789670	339.798810	2.266667
273.606607	350.500672	2.283333
278.582958	362.748937	2.300000
283.720316	374.166499	2.316667
288.697108	385.757685	2.333333
293.673821	397.465633	2.350000
298.810944	409.233693	2.366667
303.947779	421.431371	2.383333
308.924678	432.862078	2.400000
313.740379	445.409358	2.416667
319.037891	457.268389	2.433333
323.693593	469.142188	2.450000
328.669108	482.637777	2.466667
333.965730	495.825614	2.483333
338.620759	508.704220	2.500000
343.756725	522.198773	2.516667
349.053318	535.428726	2.533333
353.546710	550.079702	2.550000
359.003163	564.191341	2.566667
363.657551	578.026835	2.583333
368.953573	592.108868	2.600000
374.089961	604.974190	2.616667
378.904357	619.469363	2.633333
384.200128	633.925611	2.650000
389.176040	646.830616	2.666667
393.990670	660.975390	2.683333
398.804979	675.601052	2.700000
403.779692	690.294162	2.716667
408.914562	705.423753	2.733333
414.370570	720.199859	2.750000
419.185549	733.824119	2.766667
424.160695	747.872131	2.783333
428.653037	764.088881	2.800000
433.626750	780.274358	2.816667
438.600116	796.979124	2.833333
443.733094	814.932879	2.850000
449.027763	831.035188	2.866667
454.322873	846.479727	2.883333
459.135647	863.395243	2.900000
464.109085	879.991556	2.916667
468.600977	896.880549	2.933333
473.894402	914.839664	2.950000
478.707089	931.885879	2.966667
484.161359	949.254122	2.983333
489.294843	966.453062	3.000000
494.107547	983.474013	3.016667
499.080093	1001.401579	3.033333
504.213317	1018.988762	3.050000
508.543740	1037.399298	3.066667
513.996903	1056.421316	3.083333
518.648113	1074.999405	3.100000
523.780691	1093.551264	3.116667
529.073664	1112.184884	3.133333
533.884794	1131.553068	3.150000
538.856612	1150.567380	3.166667
543.828340	1169.717049	3.183333
548.799976	1189.002122	3.200000
553.771522	1208.422650	3.216667
558.421400	1228.990137	3.233333
563.872690	1250.806411	3.250000
569.004128	1271.059217	3.266667
573.814191	1292.020868	3.283333
579.106235	1312.042281	3.300000
583.756559	1331.943192	3.316667
589.047791	1353.173951	3.333333
593.858104	1373.763779	3.350000
598.507522	1395.017624	3.366667
603.636695	1418.650665	3.383333
608.926884	1441.439365	3.400000
613.575026	1464.596564	3.416667
619.187606	1485.160133	3.433333
623.676047	1507.200192	3.450000
628.967478	1528.134934	3.466667
633.454735	1551.942562	3.483333
638.743302	1577.151231	3.500000
643.712129	1600.629682	3.516667
648.680853	1624.262118	3.533333
654.130586	1648.403739	3.550000
659.261986	1668.712593	3.566667
663.589165	1691.964707	3.583333
669.039985	1714.483551	3.600000
673.527459	1737.965699	3.616667
678.976691	1762.854848	3.633333
683.784585	1787.055006	3.650000
688.913347	1811.302118	3.666667
694.042366	1835.165560	3.683333
699.332490	1858.051067	3.700000
703.980951	1880.731764	3.716667
709.270901	1903.877563	3.733333
713.597133	1928.543010	3.750000
718.724589	1954.739957	3.766667
724.013524	1979.399201	3.783333
728.981027	2004.853966	3.800000
734.109658	2029.297057	3.816667
739.078087	2053.369074	3.833333
744.046804	2077.011866	3.850000
749.015059	2101.344554	3.866667
753.821603	2127.558102	3.883333
758.787386	2155.580615	3.900000
763.753824	2182.624894	3.916667
769.202377	2208.525913	3.933333
773.849196	2233.657989	3.950000
778.816114	2259.987075	3.966667
783.943417	2286.411067	3.983333
789.070624	2312.978871	4.000000
793.715892	2340.426040	4.016667
798.842507	2367.877478	4.033333
803.969022	2395.478794	4.050000
808.935355	2422.678866	4.066667
813.901592	2450.022787	4.083333
818.868544	2476.300626	4.100000
824.317259	2501.960082	4.116667
828.963480	2527.985245	4.133333
