Mon Mar 25 15:53:23 2019


Number of Points = 17400

Depth (nm)	Load (µN)	Time (s)
0.000000	2.266160	0.000000
0.326805	2.314718	0.016667
0.331478	2.427090	0.033333
23.125598	12.222353	3.750000
23.130354	12.222353	3.766667
23.135056	12.295099	3.783333
23.139758	12.367905	3.800000
23.466635	12.321350	3.816667
23.793621	12.129065	3.833333
23.476148	12.321350	3.850000
23.641937	12.334565	3.866667
23.807781	12.274856	3.883333
23.812483	12.347840	3.900000
23.817185	12.420884	3.916667
24.144061	12.374571	3.933333
24.148708	12.520956	3.950000
24.153520	12.447734	3.966667
24.158111	12.667580	3.983333
24.323900	12.681273	4.000000
24.489634	12.768547	4.016667
24.816510	12.722713	4.033333
24.821267	12.722713	4.050000
24.987111	12.663007	4.066667
24.669582	12.929757	4.083333
24.835371	12.943809	4.100000
25.162247	12.898215	4.116667
25.327924	13.060321	4.133333
25.332792	12.912388	4.150000
25.659668	12.866915	4.166667
25.664424	12.866915	4.183333
25.669125	12.940912	4.200000
25.673937	12.866915	4.216667
25.678583	13.014968	4.233333
26.005459	12.969676	4.250000
26.010104	13.118086	4.266667
26.337091	12.924444	4.283333
26.180704	13.058382	4.300000
26.346493	13.072974	4.316667
26.351193	13.147328	4.333333
26.678013	13.176809	4.350000
26.521738	13.162039	4.366667
26.848614	13.117107	4.383333
26.853314	13.191640	4.400000
27.180190	13.146829	4.416667
26.862827	13.191640	4.433333
27.511878	13.027425	4.450000
27.033372	13.206531	4.466667
27.521335	13.102078	4.483333
27.203804	13.370964	4.500000
27.208392	13.595633	4.516667
27.374124	13.686010	4.533333
27.862030	13.657227	4.550000
27.866786	13.657227	4.566667
28.032630	13.597528	4.583333
28.198418	13.613077	4.600000
28.042031	13.748082	4.616667
28.368962	13.628685	4.633333
28.373718	13.628685	4.650000
28.539449	13.719780	4.666667
28.544206	13.719780	4.683333
28.548849	13.870811	4.700000
28.875780	13.751416	4.716667
28.880594	13.675871	4.733333
28.885294	13.751416	4.750000
29.212225	13.632022	4.766667
28.894750	13.827021	4.783333
29.382655	13.799320	4.800000
29.226268	13.934800	4.816667
29.553085	13.967154	4.833333
29.396697	14.102811	4.850000
29.723629	13.983421	4.866667
29.728328	14.059443	4.883333
30.055260	13.940053	4.900000
29.737727	14.211665	4.916667
30.225746	14.032581	4.933333
30.069415	14.092276	4.950000
30.396346	13.972887	4.966667
30.240016	14.032581	4.983333
30.566890	13.989394	5.000000
30.249414	14.185042	5.016667
30.737319	14.158661	5.033333
30.580988	14.218354	5.050000
30.746659	14.388157	5.066667
31.073591	14.268772	5.083333
31.239377	14.285697	5.100000
31.244191	14.209079	5.116667
31.410035	14.149387	5.133333
31.253704	14.209079	5.150000
31.419433	14.302683	5.166667
31.263045	14.439112	5.183333
31.589861	14.473382	5.200000
31.916735	14.430916	5.216667
31.921491	14.430916	5.233333
31.926190	14.507891	5.250000
32.091976	14.525236	5.266667
32.257820	14.465546	5.283333
32.101432	14.602330	5.300000
32.106072	14.756698	5.316667
32.271858	14.774281	5.333333
32.759819	14.672547	5.350000
32.764518	14.749940	5.366667
32.769274	14.749940	5.383333
32.935060	14.767703	5.400000
33.100904	14.708015	5.416667
32.944631	14.690251	5.433333
33.432592	14.588639	5.450000
32.954028	14.845215	5.466667
33.280843	14.881042	5.483333
33.124279	15.251845	5.500000
33.612298	15.072787	5.516667
33.616879	15.306750	5.533333
33.943927	15.031343	5.550000
33.787596	15.091029	5.566667
33.953382	15.109332	5.583333
33.796875	15.403337	5.600000
34.607010	15.183141	5.616667
34.450738	15.164599	5.633333
34.616640	15.026746	5.650000
34.621456	14.948638	5.666667
34.626154	15.026746	5.683333
34.630969	14.948638	5.700000
34.635549	15.183141	5.716667
34.801452	15.045229	5.733333
34.967120	15.220405	5.750000
34.810730	15.358494	5.766667
34.976397	15.534384	5.783333
35.303270	15.493663	5.800000
35.308026	15.493663	5.816667
35.634899	15.453001	5.833333
35.639714	15.374298	5.850000
35.644353	15.531765	5.866667
35.810256	15.393319	5.883333
35.653807	15.610587	5.900000
35.819591	15.629788	5.916667
36.307432	15.687749	5.933333
36.312307	15.529686	5.950000
36.317064	15.529686	5.966667
36.482908	15.470005	5.983333
36.487605	15.549008	6.000000
36.492421	15.470005	6.016667
36.496940	15.786370	6.033333
36.662725	15.805930	6.050000
36.667362	15.964588	6.066667
36.994294	15.845230	6.083333
36.998931	16.004127	6.100000
37.325862	15.884770	6.116667
37.330559	15.964308	6.133333
37.335316	15.964308	6.150000
37.501160	15.904630	6.166667
37.505857	15.984228	6.183333
37.671581	16.083924	6.200000
37.998512	15.964570	6.216667
37.842182	16.024247	6.233333
38.007966	16.044347	6.250000
38.012722	16.044347	6.266667
38.178506	16.064506	6.283333
38.344230	16.164681	6.300000
38.348987	16.164681	6.316667
38.514771	16.185020	6.333333
38.519407	16.345228	6.350000
38.524224	16.265094	6.366667
38.528860	16.425421	6.383333
38.855671	16.466638	6.400000
38.860428	16.466638	6.416667
39.187299	16.427662	6.433333
39.191995	16.508094	6.450000
39.357899	16.367988	6.466667
39.362535	16.528912	6.483333
39.528439	16.388747	6.500000
39.694283	16.329073	6.516667
39.699040	16.329073	6.533333
39.703676	16.490117	6.550000
40.030607	16.370771	6.566667
39.874216	16.511055	6.583333
40.201147	16.391710	6.600000
40.044756	16.532054	6.616667
40.371566	16.574230	6.633333
40.054087	16.774423	6.650000
40.542045	16.676318	6.666667
40.063539	16.855331	6.683333
40.551376	16.919402	6.700000
