Thu Nov 07 14:12:58 2013

Number of Points = 1533
Depth (nm)	Load (µN)	Time (s)
-6.063842	0.074301	0.000000
-6.859285	-0.194106	0.016667
-6.371191	-0.370237	0.033333
-6.846033	-0.194106	0.050000
-6.999896	-0.135395	0.066667
-7.153760	-0.076685	0.083333
-8.591662	0.638958	0.100000
-7.461737	0.415303	0.116667
-6.492175	0.063050	0.133333
-6.325060	0.004341	0.150000
-5.676477	-0.230494	0.166667
-6.632786	0.121759	0.183333
-5.984203	-0.113077	0.200000
-6.459045	0.063050	0.216667
-7.415480	0.602675	0.233333
-6.124940	0.133009	0.250000
-5.957824	0.074301	0.266667
-5.309367	0.026907	0.283333
-4.981636	-0.277948	0.300000
-6.258925	0.191717	0.316667
-5.610341	-0.043115	0.333333
-6.245672	0.191717	0.350000
-6.239298	0.566645	0.366667
-5.109121	-0.031800	0.383333
-5.744452	0.203030	0.400000
-4.453912	-0.266629	0.416667
-5.089368	0.155698	0.433333
-5.403595	0.085615	0.450000
-5.236480	0.026907	0.466667
-5.711573	0.578078	0.483333
-5.062990	0.343254	0.500000
-4.895874	0.284548	0.516667
-4.728759	0.225842	0.533333
-3.919812	0.119932	0.550000
-4.715507	0.225842	0.566667
-4.708881	0.225842	0.583333
-4.702380	0.413458	0.600000
-4.535265	0.354753	0.616667
-3.886808	0.307609	0.633333
-4.201034	0.237342	0.650000
-4.354897	0.296047	0.666667
-3.866929	0.307609	0.683333
-4.341771	0.483723	0.700000
-3.853803	0.495345	0.716667
-4.007540	0.366314	0.733333
-3.680062	0.436642	0.750000
-3.352457	0.319234	0.766667
-3.987788	0.554049	0.783333
-3.499820	0.565733	0.800000
-3.493320	0.753587	0.816667
-3.326078	0.507030	0.833333
-2.677495	0.272219	0.850000
-3.312826	0.507030	0.866667
-2.503754	0.213516	0.883333
-2.818106	0.330922	0.900000
-3.293074	0.694885	0.916667
-2.965469	0.577481	0.933333
-3.279948	0.882798	0.950000
-2.791854	0.706693	0.966667
-2.143271	0.471887	0.983333
-2.297134	0.530589	1.000000
-2.130018	0.471887	1.016667
-3.086454	1.012068	1.033333
-2.758975	1.082698	1.050000
-2.431371	0.965298	1.066667
-2.103892	1.035990	1.083333
-1.776161	0.730498	1.100000
-1.930151	0.977291	1.116667
-1.602546	0.859893	1.133333
-1.916898	0.977291	1.150000
-2.070888	1.224141	1.166667
-1.422305	0.989347	1.183333
-1.415679	0.989347	1.200000

-1.569542	1.048046	1.216667
-1.241937	0.930649	1.233333
-1.716905	1.294955	1.250000
-1.068322	1.060163	1.266667
-1.382800	1.365829	1.283333
-1.055196	1.248435	1.300000
-0.727591	1.131041	1.316667
-1.363048	1.554158	1.333333
-0.554102	1.449066	1.350000
-0.707965	1.507762	1.366667
-0.701213	1.319372	1.383333
-0.373608	1.201980	1.400000
-0.367109	1.390371	1.416667
-0.199993	1.331675	1.433333
-0.353856	1.390371	1.450000
-0.507846	1.637515	1.466667
0.140737	1.402736	1.483333
-0.334104	1.578820	1.500000
-0.006500	1.461430	1.516667
0.000000	1.649939	1.533333
1.289908	2.123835	1.550000
1.135792	2.560311	1.566667
2.104466	3.532292	1.583333
3.554607	4.331153	1.600000
5.325468	5.396118	1.616667
7.417433	6.157804	1.633333
9.188545	6.849462	1.650000
10.638677	7.661400	1.666667
12.409656	8.551048	1.683333
14.020144	9.503199	1.700000
15.630499	10.652266	1.716667
17.240981	11.612590	1.733333
19.172439	12.459514	1.750000
20.943405	13.368932	1.766667
22.714369	14.282213	1.783333
24.164351	15.316569	1.800000
26.095668	16.374935	1.816667
27.706134	17.358869	1.833333
29.316597	18.346656	1.850000
31.248037	19.221134	1.866667
32.858628	20.018772	1.883333
34.468951	21.216000	1.900000
36.079404	22.219214	1.916667
37.850344	23.167727	1.933333
39.621282	24.120108	1.950000
41.552706	25.017814	1.966667
43.002794	25.894298	1.983333
44.613369	26.715204	2.000000
46.223673	27.942230	2.016667
47.834108	28.971982	2.033333
49.604894	30.149693	2.050000
51.375814	31.129137	2.066667
53.146730	32.112453	2.083333
54.917644	33.099642	2.100000
56.367577	34.207675	2.116667
58.138623	34.997608	2.133333
59.428063	36.171350	2.150000
61.198829	37.379460	2.166667
62.809102	38.650913	2.183333
64.579862	39.868784	2.200000
66.350618	41.091540	2.216667
68.121510	42.111111	2.233333
69.892539	42.926071	2.250000
71.503078	43.802442	2.266667
72.792496	45.007947	2.283333
74.563097	46.461815	2.300000
76.333835	47.711193	2.316667
78.104570	48.965461	2.333333
79.875302	50.224618	2.350000
81.485683	51.335000	2.366667
83.256694	52.178409	2.383333
84.545950	53.625737	2.400000
86.156180	54.961187	2.416667
87.605775	56.573933	2.433333
89.376200	58.290689	2.450000
91.307398	59.525701	2.466667
93.399082	60.707294	2.483333
94.849096	61.694519	2.500000
