Thu Nov 07 14:16:45 2013

Number of Points = 1541
Depth (nm)	Load (µN)	Time (s)
-5.641792	-0.009617	0.000000
-8.197860	0.558099	0.016667
-7.704881	0.381918	0.033333
-7.853984	0.626562	0.050000
-8.163576	0.929988	0.066667
-6.547172	0.342735	0.083333
-7.177619	0.577636	0.100000
-6.524151	0.342735	0.116667
-6.673004	0.215480	0.133333
-7.464064	0.695087	0.150000
-7.131575	0.577636	0.166667
-7.601532	0.753812	0.183333
-7.269167	0.822397	0.200000
-5.973742	0.352600	0.216667
-6.443823	0.714871	0.233333
-5.469252	0.176427	0.250000
-6.099698	0.411325	0.266667
-6.409166	0.528774	0.283333
-6.076801	0.597424	0.300000
-6.707372	1.018473	0.316667
-6.053779	0.597424	0.333333
-6.042393	0.783581	0.350000
-6.191371	0.842304	0.366667
-5.217049	0.676184	0.383333
-6.007860	0.783581	0.400000
-5.354392	0.548688	0.416667
-5.182392	0.489965	0.433333
-5.812963	0.911074	0.450000
-4.999005	0.617462	0.466667
-5.789941	0.911074	0.483333
-5.618065	1.038626	0.500000
-4.804108	0.745018	0.516667
-5.113576	0.862461	0.533333
-4.299618	0.568853	0.550000
-4.930065	0.803740	0.566667
-4.758064	0.745018	0.583333
-4.586064	0.686296	0.600000
-5.216760	1.293911	0.616667
-4.723656	0.931355	0.633333
-5.193738	1.293911	0.650000
-4.540395	1.245484	0.666667
-3.886802	0.824149	0.683333
-4.035780	0.882869	0.700000
-3.703291	0.765429	0.716667
-3.852269	0.824149	0.733333
-4.322351	1.186764	0.750000
-3.508394	0.893167	0.766667
-4.299329	1.186764	0.783333
-3.806475	1.197121	0.800000
-3.794964	1.197121	0.816667
-3.462475	1.079684	0.833333
-2.969496	0.903528	0.850000
-3.278964	1.020965	0.866667
-3.427942	1.079684	0.883333
-3.095578	1.148822	0.900000
-3.726024	1.383694	0.916667
-3.072556	1.148822	0.933333
-3.221659	1.394174	0.950000
-2.889170	1.276740	0.966667
-2.556680	1.159305	0.983333
-2.705658	1.218022	1.000000
-2.373169	1.100588	1.016667
-2.682762	1.404717	1.033333
-2.350397	1.474037	1.050000
-2.338761	1.287284	1.066667
-2.808718	1.463433	1.083333
-2.155500	1.602134	1.100000
-2.625332	1.591469	1.116667
-1.971989	1.543419	1.133333
-1.639500	1.425989	1.150000
-1.948967	1.543419	1.166667
-1.616478	1.425989	1.183333
-1.926071	1.730291	1.200000

-1.914560	1.730291	1.216667
-1.903049	1.730291	1.233333
-1.731174	1.858507	1.250000
-1.398684	1.741080	1.266667
-0.905705	1.564939	1.283333
-1.215173	1.682366	1.300000
-1.203662	1.682366	1.316667
-1.352766	1.928070	1.333333
-0.859787	1.751932	1.350000
-0.848276	1.751932	1.366667
-1.157869	2.056407	1.383333
-0.665015	2.067380	1.400000
-0.813868	1.938983	1.416667
-0.802483	2.126091	1.433333
-0.470119	2.195837	1.450000
-0.779461	2.126091	1.466667
0.034496	1.832535	1.483333
-0.274971	1.949957	1.500000
-0.263586	2.137127	1.516667
-0.091586	2.078416	1.533333
-0.401179	2.383064	1.550000
-0.229178	2.324354	1.566667
-0.057178	2.265644	1.583333
0.275186	2.335512	1.600000
0.447186	2.276803	1.616667
0.298208	2.335512	1.633333
0.309719	2.335512	1.650000
0.000000	2.827678	1.666667
1.295048	2.920592	1.683333
1.306308	3.295934	1.700000
2.440488	4.012459	1.716667
3.574667	4.731141	1.733333
5.029570	5.712304	1.750000
6.484344	6.886712	1.766667
8.420582	7.889928	1.783333
10.196327	8.956691	1.800000
12.132559	9.969656	1.816667
13.908426	10.854612	1.833333
15.684419	11.551469	1.850000
17.139303	12.560961	1.866667
18.915034	13.649915	1.883333
20.851380	14.491667	1.900000
22.787854	15.143436	1.916667
24.403347	15.915430	1.933333
26.018838	16.690385	1.950000
27.473707	17.722013	1.966667
29.088932	18.894508	1.983333
31.025263	19.758501	2.000000
32.801234	20.488378	2.016667
34.416715	21.279815	2.033333
36.353171	21.957053	2.050000
37.968647	22.754428	2.066667
39.583988	23.753012	2.083333
41.038971	24.615294	2.100000
42.333196	25.937413	2.116667
44.429863	26.971616	2.133333
46.205817	27.727347	2.150000
47.821279	28.544594	2.166667
49.436606	29.565839	2.183333
51.051929	30.590941	2.200000
52.827739	31.561379	2.216667
54.282568	32.652715	2.233333
55.897748	33.892376	2.250000
57.834039	34.816382	2.266667
59.449349	35.861259	2.283333
61.385635	36.793021	2.300000
63.000940	37.845630	2.316667
64.616380	38.696734	2.333333
66.231681	39.756589	2.350000
67.686489	40.878766	2.366667
69.141157	42.211577	2.383333
70.916660	43.639726	2.400000
72.852927	44.599563	2.416667
74.468213	45.680156	2.433333
76.243986	46.706186	2.450000
77.538149	48.120690	2.466667
79.474265	49.306386	2.483333
80.928769	50.882661	2.500000
82.704247	52.348126	2.516667
84.158885	53.724737	2.533333
86.094845	55.143243	2.550000
88.031229	55.929640	2.566667
89.485857	57.320343	2.583333
91.100972	58.657548	2.600000
92.716083	59.999629	2.616667
94.170558	61.619720	2.633333
95.945862	63.344567	2.650000
97.881940	64.586230	2.666667
99.176059	66.066077	2.683333
100.790862	67.868407	2.700000
102.405514	69.895851	2.716667
104.502066	71.101480	2.733333
106.117002	72.705883	2.750000
107.731933	74.316294	2.766667
109.346861	75.932714	2.783333
110.640658	77.892486	2.800000
112.415769	79.906271	2.816667
114.190874	81.928691	2.833333
115.805783	83.572116	2.850000
117.259750	85.950419	2.866667
119.034839	87.998010	2.883333
120.809921	90.054240	2.900000
122.264020	92.235478	2.916667
124.038939	94.535474	2.933333
125.814004	96.618318	2.950000
127.107444	99.112240	2.966667
129.042832	101.383664	2.983333
130.817878	103.493843	3.000000
132.271941	105.728902	3.016667
134.046976	107.856354	3.033333
135.822005	109.992455	3.050000
137.275739	112.718156	3.066667
139.211245	114.814888	3.083333
140.825767	117.036415	3.100000
142.440126	119.501184	3.116667
144.215124	121.682648	3.133333
145.669140	123.988822	3.150000
147.443968	126.424377	3.166667
149.058301	128.928074	3.183333
150.672627	131.441887	3.200000
152.607924	133.849862	3.216667
154.222558	135.904238	3.233333
155.997514	138.148407	3.250000
157.772627	140.160055	3.266667
159.226757	142.294874	3.283333
160.680557	144.921985	3.300000
162.615817	147.385462	3.316667
164.230256	149.730825	3.333333
166.165994	151.479637	3.350000
167.459445	153.956651	3.366667
169.395010	155.964754	3.383333
170.688119	158.951878	3.400000
172.462852	161.529511	3.416667
173.916601	164.232961	3.433333
176.012131	166.964436	3.450000
177.626522	169.381165	3.466667
179.401396	171.748757	3.483333
181.015776	174.182808	3.500000
182.630318	176.373485	3.516667
184.405175	178.766380	3.533333
186.180366	180.661222	3.550000
187.794894	182.873801	3.566667
189.409246	185.348321	3.583333
191.023764	187.576145	3.600000
192.798594	190.009575	3.616667
194.413273	191.995993	3.633333
195.546138	194.676078	3.650000
197.160117	197.707984	3.666667
199.095239	200.377361	3.683333
200.548714	203.489602	3.700000
202.483647	206.440695	3.716667
204.097945	208.996064	3.733333
205.872550	211.764565	3.750000
207.326348	214.395585	3.766667
209.100940	217.183651	3.783333
210.715037	220.039460	3.800000
212.489616	222.847882	3.816667
214.424854	225.343099	3.833333
216.199955	227.371591	3.850000
217.493587	229.578699	3.866667
219.107833	232.212176	3.883333
220.882382	235.065324	3.900000
222.014789	238.427854	3.916667
224.110120	241.457328	3.933333
225.563670	244.457458	3.950000
227.337826	247.896408	3.966667
228.791179	251.191017	3.983333
230.565501	254.382576	4.000000
232.339815	257.585939	4.016667
234.114305	260.525989	4.033333
235.888789	263.476241	4.050000
237.663451	266.160089	4.066667
238.956642	269.024636	4.083333
240.891408	272.224696	4.100000
242.505564	274.993403	4.116667
244.280014	277.993100	4.133333
246.054833	280.442358	4.150000
247.508483	283.294438	4.166667
248.961938	286.436910	4.183333
250.575496	290.097471	4.200000
252.188854	294.055102	4.216667
253.962691	297.970891	4.233333
255.576412	301.388387	4.250000
257.189932	305.103908	4.266667
258.803637	308.545826	4.283333
260.416947	312.575502	4.300000
262.190736	316.563429	4.316667
263.804025	320.623843	4.333333
265.898964	324.237544	4.350000
267.512820	327.452715	4.366667
269.287550	330.036404	4.383333
270.740709	333.620538	4.400000
272.354545	336.865539	4.416667
274.128665	340.358413	4.433333
275.742289	343.920112	4.450000
277.195218	347.846977	4.466667
278.808427	352.027737	4.483333
280.421826	355.925584	4.500000
282.195503	360.079241	4.516667
284.129860	363.891293	4.533333
285.582944	367.586615	4.550000
287.035616	371.897375	4.566667
288.969336	376.658760	4.583333
290.582678	380.641483	4.600000
292.195603	385.247343	4.616667
294.130106	388.839672	4.633333
295.743625	392.557422	4.650000
297.678319	395.866181	4.666667
299.131748	399.047380	4.683333
300.745038	403.107014	4.700000
302.358527	406.870439	4.716667
303.971800	410.956299	4.733333
305.745760	414.687565	4.750000
307.359224	418.487349	4.766667
308.651076	423.351875	4.783333
310.745776	427.322151	4.800000
312.358792	431.790989	4.816667
313.811522	436.015735	4.833333
315.745706	440.084367	4.850000
317.358905	444.279707	4.866667
318.972096	448.488621	4.883333
320.745979	452.335031	4.900000
322.519639	456.513748	4.916667
324.133234	460.119969	4.933333
325.907309	463.679991	4.950000
327.681593	466.927542	4.966667
328.973975	471.000100	4.983333
330.908300	474.858877	5.000000
332.521859	478.517137	5.016667
333.813781	483.276441	5.033333
335.747862	487.498722	5.050000
337.360959	491.847302	5.066667
338.813338	496.594595	5.083333
340.747392	500.858683	5.100000
342.360682	504.918345	5.116667
344.134008	509.596592	5.133333
345.907991	513.293117	5.150000
347.360770	517.445462	5.166667
349.134515	521.497276	5.183333
350.587053	526.008178	5.200000
352.521045	530.364215	5.216667
354.134503	534.172967	5.233333
355.747729	538.329342	5.250000
357.521434	542.441507	5.266667
358.652727	547.468098	5.283333
360.585991	552.910157	5.300000
362.359211	557.745327	5.316667
363.972163	562.309881	5.333333
365.906311	566.433129	5.350000
367.037783	571.191956	5.366667
369.292427	575.917432	5.383333
371.066525	579.443842	5.400000
372.519410	583.437134	5.416667
374.132542	587.731863	5.433333
375.745900	591.690570	5.450000
