Thu Nov 07 15:00:33 2013

Number of Points = 2478
Depth (nm)	Load (µN)	Time (s)
-7.203510	0.037802	0.000000
-6.878816	0.299001	0.016667
-5.751548	0.077590	0.033333
-5.266111	-0.098460	0.050000
-5.262142	-0.098460	0.066667
-4.937194	-0.215826	0.083333
-5.254203	-0.098460	0.100000
-5.089744	-0.157143	0.116667
-5.727731	0.077590	0.133333
-5.402783	-0.039776	0.150000
-5.238451	0.090979	0.166667
-5.394971	0.149661	0.183333
-5.070023	0.032296	0.200000
-4.745202	0.104430	0.216667
-4.420254	-0.012934	0.233333
-4.255795	-0.071616	0.250000
-4.733293	0.104430	0.266667
-5.050302	0.221793	0.283333
-4.564992	0.235305	0.300000
-4.561022	0.235305	0.316667
-4.236074	0.117943	0.333333
-4.392721	0.366241	0.350000
-4.067773	0.248880	0.366667
-3.903314	0.190200	0.383333
-4.059834	0.248880	0.400000
-4.055992	0.438557	0.416667
-3.731043	0.321198	0.433333
-3.887690	0.569613	0.450000
-3.562742	0.452255	0.466667
-3.719262	0.510934	0.483333
-3.554803	0.452255	0.500000
-3.229982	0.524694	0.516667
-3.226013	0.524694	0.533333
-3.382532	0.583372	0.550000
-3.699541	0.700728	0.566667
-3.535210	0.831903	0.583333
-3.049773	0.655871	0.600000
-3.045930	0.845785	0.616667
-2.720982	0.728432	0.633333
-3.198480	0.904462	0.650000
-2.873660	0.977082	0.666667
-2.388222	0.801054	0.683333
-2.544869	1.049762	0.700000
-2.540900	1.049762	0.716667
-2.536930	1.049762	0.733333
-2.533088	1.239853	0.750000
-2.208140	1.122505	0.766667
-2.364787	1.371329	0.783333
-2.039839	1.253982	0.800000
-2.035870	1.253982	0.816667
-2.032028	1.444191	0.833333
-1.546590	1.268173	0.850000
-2.345194	1.751803	0.866667
-1.699268	1.517115	0.883333
-1.855788	1.575787	0.900000
-1.691456	1.707443	0.916667
-1.366508	1.590100	0.933333
-1.202050	1.531428	0.950000
-0.877102	1.414086	0.966667
-0.873260	1.604475	0.983333
-1.350758	1.780487	1.000000
-1.186299	1.721816	1.016667
-1.021968	1.853593	1.033333
-1.017998	1.853593	1.050000
-0.532561	1.677583	1.066667
-0.528719	1.868091	1.083333
-0.524750	1.868091	1.100000
-0.520780	1.868091	1.116667
-0.516938	2.058657	1.133333
-0.352479	1.999988	1.150000
-0.509127	2.249281	1.166667
-0.184179	2.131946	1.183333
-0.019720	2.073278	1.200000
0.305100	2.146629	1.216667
0.309070	2.146629	1.233333
0.634018	2.029295	1.250000
0.317009	2.146629	1.266667
0.000000	2.263963	1.283333
0.003458	3.027284	1.300000
0.970107	3.057319	1.316667
1.615649	3.396144	1.333333
2.742531	3.750992	1.350000
3.227326	4.533180	1.366667
4.033099	5.199547	1.383333
4.999360	5.808762	1.400000
5.805001	6.670814	1.416667
6.931491	7.610841	1.433333
8.539705	7.990921	1.450000
9.184853	8.918062	1.466667
10.793065	9.301483	1.483333
11.598960	9.785186	1.500000
12.244105	10.717704	1.516667
13.691694	11.359297	1.533333
14.336966	12.100752	1.550000
15.463574	12.863533	1.566667
16.590181	13.628477	1.583333
17.556297	14.454178	1.600000
19.004011	14.909546	1.616667
19.649410	15.462419	1.633333
20.615654	16.096273	1.650000
21.742255	16.870597	1.666667
22.868986	17.449183	1.683333
23.835227	18.087851	1.700000
24.640978	18.786591	1.716667
25.767707	19.369700	1.733333
27.054923	19.895762	1.750000
27.860671	20.599009	1.766667
28.666418	21.303754	1.783333
29.632520	22.151422	1.800000
30.759109	22.942704	1.816667
31.885831	23.535464	1.833333
32.691573	24.246806	1.850000
33.978782	24.784054	1.866667
34.623899	25.758501	1.883333
35.750616	26.357594	1.900000
36.877198	27.160427	1.916667
37.682799	28.082449	1.933333
39.130492	28.569652	1.950000
40.096852	29.030721	1.966667
40.902722	29.551264	1.983333
42.029434	30.159425	2.000000

42.835030	31.090093	2.016667
43.640624	32.022909	2.033333
44.927684	32.782422	2.050000
45.894039	33.250986	2.066667
47.020608	34.072606	2.083333
47.826335	34.807670	2.100000
48.953039	35.427298	2.116667
49.919252	36.106905	2.133333
50.885327	36.994571	2.150000
52.172378	37.767488	2.166667
53.138866	38.037862	2.183333
53.944587	38.781951	2.200000
54.750167	39.735278	2.216667
55.716235	40.632317	2.233333
56.842791	41.473083	2.250000
58.129974	42.048783	2.266667
59.096179	42.742856	2.283333
59.901752	43.706255	2.300000
60.707184	44.881615	2.316667
61.833874	45.522684	2.333333
62.960421	46.375733	2.350000
63.926620	47.078532	2.366667
64.892675	47.993956	2.383333
66.179850	48.583286	2.400000
66.985556	49.349302	2.416667
67.951750	50.058435	2.433333
68.917800	50.981440	2.450000
69.723361	51.964979	2.466667
70.849897	52.833933	2.483333
71.655312	54.035269	2.500000
72.621213	55.181168	2.516667
73.747745	56.057332	2.533333
74.874132	57.150338	2.550000
76.000805	57.816176	2.566667
77.127333	58.698856	2.583333
77.772392	59.758700	2.600000
78.898772	60.861801	2.616667
79.864806	61.809659	2.633333
80.991328	62.701364	2.650000
81.957504	63.436393	2.666667
82.923389	64.607902	2.683333
83.568439	65.681014	2.700000
84.694809	66.799668	2.716667
85.821030	68.140022	2.733333
86.786906	69.323260	2.750000
87.592292	70.567706	2.766667
88.397528	72.035126	2.783333
89.363102	73.668675	2.800000
90.810289	74.911173	2.816667
91.936643	76.052493	2.833333
92.742166	77.091353	2.850000
93.707879	78.518674	2.866667
94.834228	79.668815	2.883333
95.800235	80.656994	2.900000
96.926580	81.812607	2.916667
97.731945	83.087590	2.933333
98.858286	84.249085	2.950000
99.503158	85.588125	2.966667
100.629193	87.205956	2.983333
101.595038	88.435291	3.000000
102.721219	89.835530	3.016667
103.686909	91.297776	3.033333
104.813237	92.478590	3.050000
105.457791	94.291896	3.066667
106.905092	95.363120	3.083333
107.870925	96.611750	3.100000
108.836602	98.092184	3.116667
109.641788	99.634573	3.133333
110.607460	101.122649	3.150000
111.733464	102.786779	3.166667
112.699286	104.052169	3.183333
113.665105	105.320499	3.200000
114.951745	106.707223	3.216667
115.757071	108.039945	3.233333
116.883218	109.491963	3.250000
117.849028	110.772890	3.266667
118.814681	112.290178	3.283333
119.940977	113.519338	3.300000
120.746293	114.867559	3.316667
121.872427	116.337336	3.333333
122.517092	117.985075	3.350000
123.964199	119.346451	3.366667
125.090642	120.355518	3.383333
125.896106	121.482808	3.400000
126.861740	123.027897	3.416667
127.827689	124.102214	3.433333
128.632830	125.712016	3.450000
129.758786	127.447864	3.466667
130.885059	128.711122	3.483333
131.850841	130.035314	3.500000
132.977110	131.304476	3.516667
133.942888	132.634560	3.533333
135.229802	133.611374	3.550000
135.874760	134.822201	3.566667
137.000860	136.343401	3.583333
137.645491	138.042268	3.600000
138.932237	139.271197	3.616667
139.897841	140.861375	3.633333
140.863604	142.212486	3.650000
141.989855	143.508629	3.666667
142.795126	144.923540	3.683333
143.760721	146.527630	3.700000
144.886801	148.077663	3.716667
145.852555	149.444334	3.733333
146.978795	150.756075	3.750000
148.105033	152.070774	3.766667
149.070946	153.200015	3.783333
150.037022	154.084851	3.800000
150.842113	155.769866	3.816667
151.968343	157.095546	3.833333
152.934084	158.482023	3.850000
153.739167	160.177576	3.866667
155.186369	161.396886	3.883333
155.991614	162.850450	3.900000
156.796690	164.556551	3.916667
157.762253	166.208672	3.933333
158.888469	167.556286	3.950000
159.693369	169.524425	3.966667
160.979901	171.072503	3.983333
161.945622	172.488016	4.000000
163.071829	173.848714	4.016667
164.037716	175.017385	4.033333
164.843112	176.245985	4.050000
165.969144	177.868238	4.066667
166.774537	179.101892	4.083333
167.579587	180.846349	4.100000
168.866101	182.421464	4.116667
169.831806	183.860581	4.133333
170.797680	185.046993	4.150000
171.602721	186.805366	4.166667
172.728737	188.452179	4.183333
173.694261	190.160533	4.200000
174.499122	192.187954	4.216667
175.625130	193.846789	4.233333
176.590646	195.567141	4.250000
177.716475	197.492717	4.266667
178.842475	199.163593	4.283333
179.647669	200.693615	4.300000
180.613175	202.429344	4.316667
181.899481	204.314611	4.333333
183.025996	205.216861	4.350000
183.831182	206.759096	4.366667
184.475877	208.361867	4.383333
185.601508	210.582573	4.400000
186.566823	212.603609	4.416667
187.853466	213.986976	4.433333
188.658463	215.810095	4.450000
189.623947	217.579489	4.466667
190.589251	219.617811	4.483333
191.715217	221.337833	4.500000
192.359359	223.766543	4.516667
193.485142	225.761899	4.533333
194.610741	228.029405	4.550000
195.897005	229.977544	4.566667
197.183985	230.857542	4.583333
197.828829	232.237502	4.600000
198.633620	234.368965	4.616667
199.438408	236.505264	4.633333
200.403681	238.588943	4.650000
201.850417	240.505135	4.666667
202.334400	242.499738	4.683333
203.781129	244.425165	4.700000
204.586083	246.313045	4.716667
205.711829	248.362550	4.733333
206.516778	250.258586	4.750000
207.642517	252.317293	4.766667
208.447277	254.495644	4.783333
209.893987	256.449340	4.800000
210.538621	258.144379	4.816667
212.145998	259.773785	4.833333
212.790812	261.199141	4.850000
213.916720	263.007405	4.866667
214.721834	264.657312	4.883333
215.366085	266.922168	4.900000
216.652287	268.962584	4.916667
217.777998	271.065207	4.933333
218.583102	272.729421	4.950000
219.708619	275.120164	4.966667
220.674019	277.014175	4.983333
221.639417	278.912039	5.000000
222.925789	280.699237	5.016667
223.570016	283.000737	5.033333
224.856382	284.796157	5.050000
225.500792	286.824400	5.066667
226.786964	288.910458	5.083333
227.752535	290.549053	5.100000
228.878403	292.417189	5.116667
229.843779	294.346398	5.133333
230.970023	295.652858	5.150000
231.614610	297.418108	5.166667
232.900765	299.528674	5.183333
233.545155	301.586696	5.200000
234.991984	303.362765	5.216667
235.475689	305.772673	5.233333
236.761831	307.901717	5.250000
237.566699	309.918918	5.266667
238.692347	312.114328	5.283333
239.978674	313.968385	5.300000
240.944216	315.650979	5.316667
241.428097	317.797777	5.333333
242.714221	319.953483	5.350000
243.518683	322.576401	5.366667
244.804801	324.742435	5.383333
245.770331	326.443201	5.400000
246.896151	328.382421	5.416667
248.022360	329.739573	5.433333
248.667104	331.270010	5.450000
249.792327	334.100440	5.466667
250.757846	335.817309	5.483333
251.401794	338.535672	5.500000
252.848178	340.975077	5.516667
253.653003	343.056313	5.533333
254.618115	345.380938	5.550000
255.583223	347.710436	5.566667
256.548129	350.342445	5.583333
257.834207	352.568367	5.600000
258.478529	354.728178	5.616667
259.603711	357.618806	5.633333
260.890181	359.260350	5.650000
261.855672	361.018681	5.666667
262.981649	362.723101	5.683333
263.465672	364.658008	5.700000
264.590837	367.574511	5.716667
265.716604	369.591639	5.733333
266.521191	372.028971	5.750000
267.807238	374.300667	5.766667
268.932997	376.330398	5.783333
269.737981	378.173515	5.800000
271.024223	380.153719	5.816667
271.347535	382.478591	5.833333
272.472670	385.440163	5.850000
273.598005	388.102695	5.866667
274.402155	391.191686	5.883333
276.170051	392.717516	5.900000
276.814530	394.643573	5.916667
277.940264	396.710613	5.933333
278.745020	398.894981	5.950000
279.389078	401.449147	5.966667
280.513974	404.767740	5.983333
281.639488	407.163168	6.000000
282.604302	409.931254	6.016667
283.729810	412.337017	6.033333
284.694826	414.804334	6.050000
285.820326	417.219898	6.066667
286.785756	419.070602	6.083333
287.589854	422.235591	6.100000
289.036531	424.238335	6.116667
289.841676	425.842020	6.133333
290.806885	428.021393	6.150000
291.611604	430.261217	6.166667
292.576172	433.396762	6.183333
293.701860	435.532622	6.200000
294.506145	438.419957	6.216667
295.470700	441.574681	6.233333
296.595952	444.361575	6.250000
297.560712	447.211014	6.266667
299.007360	449.257628	6.283333
299.330376	452.023688	6.300000
300.615671	455.418076	6.316667
301.901822	457.535281	6.333333
302.545803	460.204044	6.350000
303.992435	462.273087	6.366667
304.797331	464.248956	6.383333
305.762495	466.494604	6.400000
306.888362	468.364014	6.416667
307.371624	471.434566	6.433333
308.335910	474.991766	6.450000
309.621602	477.793598	6.466667
310.907289	480.601504	6.483333
311.872873	482.221549	6.500000
312.516823	484.937423	6.516667
313.642232	487.489176	6.533333
314.446223	490.814870	6.550000
315.410477	494.420458	6.566667
316.374724	498.034686	6.583333
317.660605	500.554096	6.600000
318.785774	503.465493	6.616667
320.072092	505.332716	6.633333
320.555525	508.147564	6.650000
322.001881	510.629916	6.666667
322.806729	512.676491	6.683333
323.771616	515.336249	6.700000
324.736947	517.333415	6.716667
