Mon Apr 01 15:15:51 2019


Number of Points = 15778

Depth (nm)	Load (µN)	Time (s)
-2.895822	-0.798084	0.000000
-3.361598	-1.349598	0.016667
-3.505669	-1.393271	0.033333
53.610548	32.620531	3.650000
53.466184	32.966062	3.666667
54.127257	33.014244	3.683333
54.305139	33.145959	3.700000
54.805123	33.254618	3.716667
54.982933	33.482965	3.733333
55.805163	33.377346	3.750000
55.822101	33.377346	3.766667
56.322085	33.487449	3.783333
56.500038	33.524270	3.800000
57.161325	33.285986	3.816667
57.017249	33.249164	3.833333
57.517232	33.359812	3.850000
57.534025	33.553016	3.866667
58.195094	33.604994	3.883333
58.211887	33.798795	3.900000
58.711650	34.202926	3.916667
59.050690	34.181143	3.933333
59.550744	34.197323	3.950000
59.567536	34.392435	3.966667
60.067369	34.702570	3.983333
60.728656	34.464324	4.000000
60.906608	34.502708	4.016667
61.245648	34.481591	4.033333
61.262365	34.775962	4.050000
61.762491	34.695527	4.066667
62.101383	34.871498	4.083333
62.601435	34.889849	4.100000
62.457064	35.245387	4.116667
63.118203	35.204784	4.133333
63.296006	35.442106	4.150000
64.118306	35.243415	4.166667
63.812995	35.461661	4.183333
64.473985	35.620600	4.200000
64.812873	35.799987	4.216667
65.312999	35.720952	4.233333
65.490949	35.761078	4.250000
65.991149	35.582428	4.266667
66.007938	35.781961	4.283333
66.507988	35.803087	4.300000
66.685863	35.943549	4.316667
67.185913	35.965157	4.333333
67.524876	36.046554	4.350000
68.025000	35.968251	4.366667
68.202950	36.009100	4.383333
68.703000	36.031435	4.400000
68.558700	36.292185	4.416667
68.897586	36.475355	4.433333
69.236396	36.760114	4.450000
69.897531	36.724232	4.466667
70.236568	36.706383	4.483333
70.575529	36.789944	4.500000
70.914565	36.772276	4.516667
71.092515	36.814207	4.533333
71.592562	36.838713	4.550000
71.931446	37.024766	4.566667
72.431646	36.846158	4.583333
72.287344	37.109411	4.600000
72.787391	37.134762	4.616667
73.126427	37.117761	4.633333
73.304223	37.364789	4.650000
73.804192	37.493290	4.666667
74.304239	37.519727	4.683333
74.482341	37.357650	4.700000
74.821300	37.443741	4.716667
74.999017	37.795231	4.733333
75.498985	37.925536	4.750000
75.677011	37.866009	4.766667
76.177056	37.893654	4.783333
76.677101	37.921542	4.800000
76.855204	37.758752	4.816667
77.194084	37.949672	4.833333
77.533041	38.037568	4.850000
78.033164	37.962559	4.866667
78.050024	38.066182	4.883333
78.388981	38.154561	4.900000
78.889025	38.183658	4.916667
79.066973	38.228059	4.933333
79.405851	38.421141	4.950000
79.905895	38.450964	4.966667
80.083842	38.495725	4.983333
80.422642	38.794408	5.000000
80.761676	38.779952	5.016667
81.100553	38.975015	5.033333
81.600596	39.006165	5.050000
81.939551	39.097072	5.066667
82.278742	38.873044	5.083333
82.456610	39.023587	5.100000
82.795644	39.009679	5.116667
83.134520	39.206367	5.133333
83.634720	39.027830	5.150000
83.973674	39.119584	5.166667
84.151700	39.060072	5.183333
84.490654	39.152067	5.200000
84.829688	39.138645	5.216667
85.168483	39.442616	5.233333
85.346350	39.594961	5.250000
85.846390	39.628531	5.266667
86.346511	39.556147	5.283333
86.524536	39.496641	5.300000
86.702322	39.755903	5.316667
87.041275	39.849704	5.333333
87.702483	39.718184	5.350000
87.719261	39.931354	5.366667
88.219381	39.859521	5.383333
88.558333	39.954047	5.400000
88.897366	39.941899	5.416667
89.075311	39.989313	5.433333
89.575270	40.131916	5.450000
89.753215	40.179571	5.466667
90.092167	40.275061	5.483333
90.270031	40.430290	5.500000
90.770070	40.466764	5.516667
91.108860	40.778421	5.533333
91.608979	40.707748	5.550000
91.625917	40.707748	5.566667
92.286961	40.793568	5.583333
92.464905	40.842126	5.600000
92.803856	40.939424	5.616667
93.303975	40.869180	5.633333
93.481919	40.917980	5.650000
94.143125	40.788368	5.666667
94.321150	40.728878	5.683333
94.499094	40.777800	5.700000
