Thu Nov 07 15:45:54 2013

Number of Points = 4883
Depth (nm)	Load (µN)	Time (s)
-5.297955	-1.091977	0.000000
-6.417535	-0.491364	0.016667
-6.253073	-0.550041	0.033333
-6.088612	-0.608719	0.050000
-6.405745	-0.301439	0.066667
-5.278348	-0.712174	0.083333
-5.595355	-0.594821	0.100000
-6.233339	-0.360115	0.116667
-5.266432	-0.712174	0.133333
-5.743927	-0.536145	0.150000
-4.777019	-0.888203	0.166667
-5.415004	-0.653497	0.183333
-6.053116	-0.228806	0.200000
-5.407187	-0.463509	0.216667
-6.045299	-0.038762	0.233333
-5.078519	-0.200706	0.250000
-4.432589	-0.435403	0.266667
-4.428490	-0.625512	0.283333
-4.103539	-0.742862	0.300000
-4.902013	-0.449487	0.316667
-4.737679	-0.318055	0.333333
-4.733707	-0.318055	0.350000
-4.729734	-0.318055	0.366667
-4.404911	-0.245235	0.383333
-3.758982	-0.479929	0.400000
-3.915499	-0.421256	0.416667
-3.911527	-0.421256	0.433333
-4.389022	-0.245235	0.450000
-4.064071	-0.362582	0.466667
-4.060226	-0.172355	0.483333
-3.735276	-0.289700	0.500000
-3.570942	-0.158085	0.516667
-3.727331	-0.289700	0.533333
-3.562870	-0.348373	0.550000
-3.558897	-0.348373	0.566667
-3.555053	-0.158085	0.583333
-3.390591	-0.216757	0.600000
-3.386746	-0.026411	0.616667
-3.061796	-0.143753	0.633333
-3.218313	-0.085082	0.650000
-3.214340	-0.085082	0.666667
-2.729028	-0.070687	0.683333
-2.564567	-0.129358	0.700000
-2.881573	-0.012017	0.716667
-2.717111	-0.070687	0.733333
-3.034245	0.237118	0.750000
-2.388316	0.002440	0.766667
-2.384344	0.002440	0.783333
-2.540861	0.061109	0.800000
-2.537016	0.251635	0.816667
-2.051576	0.075628	0.833333
-2.208093	0.134297	0.850000
-1.883270	0.207545	0.866667
-1.718809	0.148877	0.883333
-2.035815	0.266213	0.900000
-2.192332	0.324882	0.916667
-2.027998	0.456858	0.933333
-1.863664	0.588893	0.950000
-1.538714	0.471560	0.966667
-1.534869	0.662323	0.983333
-1.209791	0.354226	1.000000
-1.526925	0.662323	1.016667
-1.362463	0.603657	1.033333
-1.679597	0.911809	1.050000
-1.194157	0.735813	1.066667
-0.708717	0.559818	1.083333
-0.865234	0.618483	1.100000
-0.861390	0.809365	1.116667
-0.696928	0.750701	1.133333
-0.853445	0.809365	1.150000
-0.849601	1.000306	1.166667
-0.845629	1.000306	1.183333
-0.520678	0.882978	1.200000
-0.516834	1.073979	1.216667
-0.512990	1.265037	1.233333
-0.348528	1.206375	1.250000
-0.505045	1.265037	1.266667
-0.180222	1.338831	1.283333
-0.015761	1.280170	1.300000
0.148701	1.221508	1.316667
0.313034	1.354026	1.333333
0.317006	1.354026	1.350000
0.000000	1.471347	1.366667
0.164205	1.795218	1.383333
0.649132	2.385010	1.400000
1.455294	2.474972	1.416667
1.619370	2.991620	1.433333
2.425402	3.274196	1.450000
2.749967	3.733263	1.466667
3.074402	4.385279	1.483333
3.398837	5.038239	1.500000
4.204868	5.323340	1.516667
4.850280	5.860690	1.533333
5.495691	6.398997	1.550000
5.820253	6.861987	1.566667
6.626282	7.149622	1.583333
6.629865	7.730939	1.600000
7.435763	8.213725	1.616667
7.760324	8.679035	1.633333
8.566221	9.163501	1.650000
9.372248	9.454212	1.666667
9.536318	9.979926	1.683333
9.700257	10.701238	1.700000
10.345663	11.247666	1.716667
10.830579	11.853655	1.733333
11.636604	12.147614	1.750000
12.282140	12.500721	1.766667
12.767054	13.109101	1.783333
13.412720	13.267159	1.800000
13.897765	13.680486	1.816667
14.382810	14.094351	1.833333
14.707365	14.567343	1.850000
15.031920	15.040869	1.866667
15.677453	15.397761	1.883333
16.162364	16.011151	1.900000
16.968518	16.113175	1.916667
17.453560	16.530273	1.933333
17.617624	17.065060	1.950000
18.263023	17.622741	1.966667
18.427086	18.158769	1.983333
19.072483	18.718119	2.000000
19.718013	19.079696	2.016667
20.363542	19.441817	2.033333
21.009071	19.804481	2.050000
21.494244	20.027040	2.066667
21.818794	20.507721	2.083333
22.303833	20.930383	2.100000
22.467759	21.670421	2.116667
23.434265	21.918690	2.133333
23.919168	22.543299	2.150000
24.564829	22.709603	2.166667
24.889377	23.193681	2.183333
25.535037	23.360593	2.200000
25.698960	24.104905	2.216667
26.504975	24.414988	2.233333
26.829656	24.700058	2.250000
27.475180	25.069581	2.266667
28.120704	25.439648	2.283333
28.445385	25.725679	2.300000
29.090908	26.096651	2.316667
29.576077	26.324760	2.333333
30.061246	26.553112	2.350000
30.385791	27.042389	2.366667
30.870959	27.271344	2.383333
31.355856	27.905521	2.400000
31.680400	28.396406	2.416667
32.486410	28.712301	2.433333
32.971578	28.942705	2.450000
33.777587	29.259514	2.466667
34.102266	29.549028	2.483333
34.587433	29.780281	2.500000
34.911974	30.273861	2.516667
35.557493	30.650984	2.533333
35.882171	30.941698	2.550000
36.206574	31.640827	2.566667
37.012582	31.961084	2.583333
37.497611	32.398862	2.600000
37.982776	32.632529	2.616667
38.628431	32.807956	2.633333
38.792480	33.363962	2.650000
39.277370	34.008664	2.666667
39.762260	34.654319	2.683333
40.407775	35.036859	2.700000
41.053291	35.419943	2.716667
41.538455	35.656145	2.733333
42.023480	36.098603	2.750000
42.508505	36.541600	2.766667
43.154158	36.720308	2.783333
43.478832	37.016183	2.800000
43.803367	37.518901	2.816667
44.448880	37.905244	2.833333
44.933904	38.350584	2.850000
45.579416	38.738013	2.866667
46.064578	38.977119	2.883333
46.549601	39.423903	2.900000
46.874134	39.929670	2.916667
47.198528	40.643818	2.933333
47.844038	41.033956	2.950000
48.168431	41.749768	2.966667
48.974290	42.291233	2.983333
49.459450	42.533112	3.000000
50.265588	42.658379	3.016667
50.590259	42.959174	3.033333
51.235907	43.143360	3.050000
51.560437	43.653791	3.066667
51.885107	43.955428	3.083333
52.370126	44.408334	3.100000
53.015633	44.803363	3.116667
53.500511	45.467212	3.133333
53.985528	45.921917	3.150000
54.470545	46.377162	3.166667
54.955562	46.832947	3.183333
55.440578	47.289272	3.200000
55.925735	47.535387	3.216667
56.250121	48.261939	3.233333
56.895483	48.872649	3.250000
57.540987	49.272919	3.266667
58.186632	49.462215	3.283333
58.671788	49.710146	3.300000
59.156802	50.170078	3.316667
59.641958	50.418615	3.333333
59.966624	50.725779	3.350000
60.451637	51.186974	3.366667
61.097281	51.377980	3.383333
61.421805	51.898456	3.400000
61.746185	52.632173	3.416667
62.552175	52.978785	3.433333
62.876697	53.501051	3.450000
63.682829	53.635517	3.466667
63.846718	54.430464	3.483333
64.331729	54.895981	3.500000
64.977084	55.517510	3.516667
65.462237	55.770279	3.533333
66.107735	56.179067	3.550000
66.432398	56.490795	3.566667
66.917263	57.173321	3.583333
67.402271	57.642082	3.600000
67.887279	58.111383	3.616667
68.372286	58.581225	3.633333
69.178271	58.934932	3.650000
69.502788	59.464195	3.666667
69.987939	59.720112	3.683333
70.633434	60.133610	3.700000
71.118584	60.390135	3.716667
71.603589	60.862870	3.733333
71.928250	61.178327	3.750000
72.413110	61.868283	3.766667
72.898114	62.342636	3.783333
73.382973	63.034265	3.800000
74.028465	63.451564	3.816667
74.352979	63.986031	3.833333
74.998325	64.621743	3.850000
75.483328	65.099158	3.866667
76.128819	65.518811	3.883333
76.613820	65.997310	3.900000
77.098967	66.258312	3.916667
77.583968	66.737715	3.933333
77.908480	67.275951	3.950000
78.553822	67.916713	3.966667
79.038822	68.397916	3.983333
79.363332	68.937943	4.000000

80.008820	69.361944	4.016667
80.493672	70.064109	4.033333
80.818181	70.605929	4.050000
81.302884	71.529575	4.066667
81.787881	72.014554	4.083333
82.272730	72.720299	4.100000
82.917920	73.589257	4.116667
83.403064	73.855696	4.133333
83.887911	74.564073	4.150000
84.854373	74.877533	4.166667
85.018538	75.261570	4.183333
85.503532	75.750697	4.200000
85.988675	76.018835	4.216667
86.473520	76.730573	4.233333
86.958662	76.999438	4.250000
87.283017	77.770852	4.266667
87.767712	78.707337	4.283333
88.413043	79.364425	4.300000
88.897886	80.080703	4.316667
89.543366	80.516646	4.333333
89.707229	81.351043	4.350000
90.352558	82.011730	4.366667
90.997887	82.673379	4.383333
91.322387	83.228458	4.400000
91.967865	83.667657	4.416667
92.131575	84.730693	4.433333
92.776901	85.395937	4.450000
93.582715	86.003946	4.466667
93.907213	86.562430	4.483333
94.552689	87.005066	4.500000
94.716546	87.848248	4.516667
95.361869	88.517816	4.533333
95.846703	89.246529	4.550000
96.170744	90.486830	4.566667
96.655577	91.217923	4.583333
97.300745	92.118592	4.600000
97.946065	92.793672	4.616667
98.430895	93.527876	4.633333
98.755083	94.548749	4.650000
99.561042	94.940998	4.666667
100.045871	95.678073	4.683333
100.530851	96.187896	4.700000
101.015678	96.926647	4.716667
101.340169	97.495873	4.733333
101.824842	98.465154	4.750000
102.309667	99.206769	4.766667
102.794338	100.178730	4.783333
103.600293	100.576616	4.800000
103.764138	101.437353	4.816667
104.248807	102.412891	4.833333
104.733474	103.389917	4.850000
105.218141	104.368430	4.866667
105.863450	105.059343	4.883333
106.508913	105.520057	4.900000
106.993887	106.039419	4.916667
107.639350	106.501225	4.933333
107.963679	107.311465	4.950000
108.448652	107.832631	4.966667
108.933469	108.586449	4.983333
109.418285	109.341225	5.000000
109.903257	109.864373	5.016667
110.388072	110.620825	5.033333
110.872731	111.611290	5.050000
111.196899	112.661311	5.066667
111.842045	113.596684	5.083333
112.327013	114.123790	5.100000
