Thu Nov 07 15:41:12 2013

Number of Points = 4869
Depth (nm)	Load (µN)	Time (s)
-4.449338	0.607709	0.000000
-5.087066	0.652949	0.016667
-5.082965	0.652949	0.033333
-4.115927	0.300853	0.050000
-4.432804	0.418218	0.066667
-4.107724	0.300853	0.083333
-4.745580	0.535584	0.100000
-5.865030	1.135846	0.116667
-4.898120	0.973301	0.133333
-4.733529	0.914620	0.150000
-4.087597	0.869504	0.166667
-3.441412	0.445171	0.183333
-3.918778	0.621214	0.200000
-3.433208	0.445171	0.216667
-4.071064	0.679895	0.233333
-4.227578	0.928184	0.250000
-4.062988	0.869504	0.266667
-4.540481	1.235209	0.283333
-3.412954	0.824452	0.300000
-3.408980	1.014180	0.316667
-2.762921	0.779464	0.333333
-2.919182	0.648413	0.350000
-3.236186	0.955501	0.366667
-3.232084	0.955501	0.383333
-3.548961	1.072859	0.400000
-3.705476	1.321322	0.416667
-2.898928	1.027931	0.433333
-3.376421	1.393810	0.450000
-2.569874	1.100423	0.466667
-2.565772	1.100423	0.483333
-2.240692	0.983068	0.500000
-2.076101	0.924391	0.516667
-2.392978	1.041746	0.533333
-2.389004	1.231653	0.550000
-2.224413	1.172976	0.566667
-3.022757	1.466359	0.583333
-2.216337	1.362942	0.600000
-2.212235	1.362942	0.616667
-1.405815	1.259591	0.633333
-1.562075	1.128238	0.650000
-1.397484	1.069563	0.666667
-1.714488	1.376941	0.683333
-2.191854	1.552966	0.700000
-2.348369	1.801724	0.716667
-1.541822	1.508351	0.733333
-1.537847	1.698495	0.750000
-0.731299	1.405127	0.766667
-1.208666	1.581148	0.783333
-0.883586	1.463800	0.800000
-0.879484	1.463800	0.816667
-1.517467	1.888697	0.833333
-1.192387	1.771351	0.850000
-1.348902	2.020285	0.866667
-0.863460	2.034590	0.883333
-0.217401	1.799905	0.900000
-0.373789	1.858576	0.916667
-0.209198	1.799905	0.933333
-0.044607	1.741233	0.950000
-0.521973	1.917247	0.966667
-0.357510	2.048958	0.983333
-0.674387	2.166299	1.000000
-0.188945	2.180728	1.016667
0.136135	2.063388	1.033333
0.140237	2.063388	1.050000
0.304827	2.004719	1.066667
0.308801	2.195220	1.083333
-0.008076	2.312558	1.100000
0.156388	2.444448	1.116667
0.000000	2.503117	1.133333
0.325080	2.385780	1.150000
0.649777	2.840476	1.166667
1.295708	2.796609	1.183333
1.299554	3.178378	1.200000
1.463888	3.501718	1.216667
2.270052	3.781860	1.233333
2.594876	4.047136	1.250000
3.080060	4.445499	1.266667
4.046712	4.668437	1.283333
4.211046	4.993327	1.300000
5.017337	5.083848	1.316667
5.342031	5.542664	1.333333
5.827343	5.751092	1.350000
6.152036	6.210801	1.366667
6.316240	6.729686	1.383333
6.961782	7.265983	1.400000
7.767942	7.551558	1.416667
8.253123	7.954950	1.433333
9.219771	8.182982	1.450000
9.544722	8.259115	1.466667
10.029902	8.663772	1.483333
10.194234	8.992471	1.500000
10.839902	9.339396	1.516667
11.325082	9.745488	1.533333
11.810261	10.152118	1.550000
12.295439	10.559287	1.566667
13.262216	10.596560	1.583333
13.587035	10.868549	1.600000
14.232832	11.023549	1.616667
14.557651	11.296020	1.633333
14.721850	11.822397	1.650000
15.207027	12.232087	1.666667
15.692073	12.837782	1.683333
16.337607	13.385825	1.700000
17.143892	13.484402	1.716667
17.629199	13.700427	1.733333
18.114505	13.916694	1.750000
18.439191	14.388039	1.766667
18.924366	14.801323	1.783333
19.249051	15.273738	1.800000
19.734224	15.688097	1.816667
20.700865	15.927235	1.833333
21.186171	16.145552	1.850000
21.671476	16.364112	1.866667
22.156780	16.582914	1.883333
22.642085	16.801959	1.900000
22.806279	17.336003	1.916667
23.291450	17.753425	1.933333
23.936978	18.310826	1.950000
24.582771	18.472743	1.966667
25.067942	18.891786	1.983333
25.392623	19.369933	2.000000
26.198904	19.474257	2.016667
26.523585	19.953303	2.033333
27.008754	20.374323	2.050000
27.494057	20.596744	2.066667
27.979225	21.018664	2.083333
28.624883	21.382569	2.100000
29.110185	21.605956	2.116667
29.755975	21.771036	2.133333
30.241143	22.194761	2.150000
30.726444	22.418997	2.166667
31.051256	22.702021	2.183333
31.375934	23.185548	2.200000
31.860966	23.811569	2.216667
32.667110	24.120732	2.233333
32.991921	24.405192	2.250000
33.637575	24.773799	2.266667
33.962385	25.058860	2.283333
34.447550	25.486901	2.300000
35.414047	25.941407	2.316667
35.738992	26.025923	2.333333
36.063801	26.312186	2.350000
36.709454	26.683509	2.366667
37.194752	26.911852	2.383333
37.519426	27.401117	2.400000
38.165213	27.571548	2.416667
38.810865	27.944682	2.433333
39.296162	28.174237	2.450000
39.620971	28.462544	2.466667
39.945643	28.953963	2.483333
40.591293	29.328905	2.500000
40.915964	29.821397	2.516667
41.561614	30.197422	2.533333
42.207263	30.573991	2.550000
43.013537	30.688846	2.566667
43.177855	31.037932	2.583333
43.663014	31.474264	2.600000
44.308799	31.648470	2.616667
44.794094	31.881411	2.633333
45.118900	32.173083	2.650000
45.443569	32.669526	2.666667
46.089216	33.049537	2.683333
46.734999	33.225205	2.700000
47.220294	33.459599	2.716667
47.705450	33.899361	2.733333
48.190744	34.134360	2.750000
48.354922	34.691971	2.766667
49.000430	35.280356	2.783333
49.485585	35.722273	2.800000
50.131229	36.106265	2.816667
50.777011	36.284610	2.833333
51.262303	36.521663	2.850000
51.587107	36.817420	2.866667
52.232750	37.203047	2.883333
52.557553	37.499406	2.900000
53.203195	37.885938	2.916667
53.688487	38.124445	2.933333
54.173639	38.570336	2.950000
54.498441	38.867897	2.966667
54.983454	39.522183	2.983333
55.468467	40.177422	3.000000
